date,numconf,weekly_num
2020-05-04,17923,370
2020-05-11,20546,2623
2020-05-18,22957,2411
2020-05-25,25904,2947
2020-06-01,28263,2359
2020-06-08,30860,2597
2020-06-15,32370,1510
2020-06-22,33637,1267
2020-06-29,34911,1274
2020-07-06,35948,1037
2020-07-13,36839,891
2020-07-20,37739,900
2020-07-27,38799,1060
2020-08-03,39449,650
2020-08-10,40161,712
2020-08-17,40745,584
2020-08-24,41507,762
2020-08-31,42309,802
2020-09-07,43161,852
2020-09-14,44817,1656
2020-09-21,47274,2457
2020-09-28,50531,3257
2020-10-05,54814,4283
2020-10-12,59139,4325
2020-10-19,65075,5936
2020-10-26,71224,6149
2020-11-02,77655,6431
2020-11-09,85395,7740
2020-11-16,95496,10101
2020-11-23,105501,10005
2020-11-30,116492,10991
2020-12-07,129234,12742
2020-12-14,142121,12887
2020-12-21,158053,15932
2020-12-28,173355,15302
2021-01-04,194232,20877
2021-01-11,219120,24888
2021-01-18,240364,21244
2021-01-25,256960,16596
2021-02-01,270180,13220
2021-02-08,279472,9292
2021-02-15,286832,7360
2021-02-22,294144,7312
2021-03-01,301839,7695
2021-03-08,309927,8088
2021-03-15,319374,9447
2021-03-22,330573,11199
2021-03-29,345234,14661
2021-04-05,364537,19303
2021-04-12,391009,26472
2021-04-19,421442,30433
2021-04-26,448861,27419
2021-05-03,473901,25040
2021-05-10,495019,21118